year,month,average_temperature_f,temperature_anomaly_f,state
2010,6,77.4,6.7,Delaware
2010,7,79.9,4.4,Delaware
2010,8,77,3.2,Delaware
2010,9,71.4,3.9,Delaware
2010,10,58.6,2.2,Delaware
2010,11,47.5,1.8,Delaware
2010,12,31.7,-4.5,Delaware
2011,1,30.3,-3,Delaware
2011,2,38.8,4.5,Delaware
2011,3,43.9,1.2,Delaware
2011,4,57.2,5.2,Delaware
2011,5,66.4,4.2,Delaware
2011,6,74.3,3.6,Delaware
2011,7,80.6,5.1,Delaware
2011,8,75.5,1.7,Delaware
2011,9,70.7,3.2,Delaware
2011,10,57.2,0.8,Delaware
2011,11,50.8,5.1,Delaware
2011,12,43.4,7.2,Delaware
2012,1,39.3,6,Delaware
2012,2,41.1,6.8,Delaware
2012,3,52.4,9.7,Delaware
2012,4,55,3,Delaware
2012,5,67.8,5.6,Delaware
2012,6,72.9,2.2,Delaware
2012,7,80.9,5.4,Delaware
2012,8,76.8,3,Delaware
2012,9,68.4,0.9,Delaware
2012,10,59.4,3,Delaware
2012,11,43.5,-2.2,Delaware
2012,12,44.2,8,Delaware
2013,1,37.4,4.1,Delaware
2013,2,35.9,1.6,Delaware
2013,3,40.5,-2.2,Delaware
2013,4,54.6,2.6,Delaware
2013,5,63.7,1.5,Delaware
2013,6,73.5,2.8,Delaware
2013,7,79.2,3.7,Delaware
2013,8,73.4,-0.4,Delaware
2013,9,66.7,-0.8,Delaware
2013,10,59.5,3.1,Delaware
2013,11,45.1,-0.6,Delaware
2013,12,40.4,4.2,Delaware
2014,1,30,-3.3,Delaware
2014,2,33.9,-0.4,Delaware
2014,3,39.6,-3.1,Delaware
2014,4,52.9,0.9,Delaware
2014,5,64.9,2.7,Delaware
2014,6,72.8,2.1,Delaware
2014,7,75.8,0.3,Delaware
2014,8,72.6,-1.2,Delaware
2014,9,69.1,1.6,Delaware
2014,10,59.4,3,Delaware
2014,11,44.6,-1.1,Delaware
2014,12,41,4.8,Delaware
2015,1,32.1,-1.2,Delaware
2015,2,26.3,-8,Delaware
2015,3,40,-2.7,Delaware
2015,4,54.2,2.2,Delaware
2015,5,67.9,5.7,Delaware
2015,6,73.6,2.9,Delaware
2015,7,76.9,1.4,Delaware
2015,8,75.1,1.3,Delaware
2015,9,72,4.5,Delaware
2015,10,56.5,0.1,Delaware
2015,11,51.6,5.9,Delaware
2015,12,50.8,14.6,Delaware
2016,1,34.3,1,Delaware
2016,2,38.5,4.2,Delaware
2016,3,49.7,7,Delaware
2016,4,53.1,1.1,Delaware
2016,5,61.7,-0.5,Delaware
2016,6,72.4,1.7,Delaware
2016,7,79.6,4.1,Delaware
2016,8,78.6,4.8,Delaware
2016,9,72,4.5,Delaware
2016,10,60.3,3.9,Delaware
2016,11,49,3.3,Delaware
2016,12,39.2,3,Delaware
2017,1,39.1,5.8,Delaware
2017,2,44.4,10.1,Delaware
2017,3,43.8,1.1,Delaware
2017,4,59.6,7.6,Delaware
2017,5,62.8,0.6,Delaware
2017,6,73.6,2.9,Delaware
2017,7,78.4,2.9,Delaware
2017,8,74,0.2,Delaware
2017,9,69.8,2.3,Delaware
2017,10,62.4,6,Delaware
2017,11,47.5,1.8,Delaware
2017,12,36.1,-0.1,Delaware
2018,1,32.8,-0.5,Delaware
2018,2,43.2,8.9,Delaware
2018,3,40.5,-2.2,Delaware
2018,4,51.6,-0.4,Delaware
2018,5,68.3,6.1,Delaware
2018,6,72.6,1.9,Delaware
2018,7,77.2,1.7,Delaware
2018,8,78.6,4.8,Delaware
2018,9,73.6,6.1,Delaware
2018,10,60.2,3.8,Delaware
2018,11,45.7,0,Delaware
2018,12,41.4,5.2,Delaware
2019,1,35.3,2,Delaware
2019,2,38.7,4.4,Delaware
2019,3,43.2,0.5,Delaware
2019,4,58.7,6.7,Delaware
2019,5,66.9,4.7,Delaware
2019,6,73.8,3.1,Delaware
2019,7,79.8,4.3,Delaware
2019,8,76.4,2.6,Delaware
2019,9,71.6,4.1,Delaware
2019,10,61.5,5.1,Delaware
2019,11,43.6,-2.1,Delaware
2019,12,40,3.8,Delaware
2020,1,40.2,6.9,Delaware
2020,2,41.9,7.6,Delaware
2020,3,49.5,6.8,Delaware
2020,4,51.8,-0.2,Delaware
2020,5,60.6,-1.6,Delaware
2020,6,73.7,3,Delaware
2020,7,80.7,5.2,Delaware
2020,8,77.2,3.4,Delaware
2020,9,68.7,1.2,Delaware
2020,10,60,3.6,Delaware
2020,11,51.8,6.1,Delaware
2020,12,39.7,3.5,Delaware
2010,1,27,1.6,Connecticut
2010,2,29.8,3.5,Connecticut
2010,3,43,7.6,Connecticut
2010,4,52,6,Connecticut
2010,5,60.9,4.1,Connecticut
2010,6,68.9,3.5,Connecticut
2010,7,75.1,4.4,Connecticut
2010,8,71,2.4,Connecticut
2010,9,65.6,4.1,Connecticut
2010,10,52.8,1.8,Connecticut
2010,11,41.9,1.7,Connecticut
2010,12,28.2,-1,Connecticut
2011,1,23.2,-2.2,Connecticut
2011,2,27.1,0.8,Connecticut
2011,3,37,1.6,Connecticut
2011,4,48.9,2.9,Connecticut
2011,5,59.7,2.9,Connecticut
2011,6,66.9,1.5,Connecticut
2011,7,74.1,3.4,Connecticut
2011,8,70.8,2.2,Connecticut
2011,9,66.4,4.9,Connecticut
2011,10,53.4,2.4,Connecticut
2011,11,45.9,5.7,Connecticut
2011,12,36.9,7.7,Connecticut
2012,1,31.7,6.3,Connecticut
2012,2,35,8.7,Connecticut
2012,3,45.8,10.4,Connecticut
2012,4,49.7,3.7,Connecticut
2012,5,61.6,4.8,Connecticut
2012,6,66.4,1,Connecticut
2012,7,74.1,3.4,Connecticut
2012,8,72,3.4,Connecticut
2012,9,63.3,1.8,Connecticut
2012,10,54.7,3.7,Connecticut
2012,11,39.4,-0.8,Connecticut
2012,12,35.9,6.7,Connecticut
2013,1,28.8,3.4,Connecticut
2013,2,29.2,2.9,Connecticut
2013,3,36,0.6,Connecticut
2013,4,47.3,1.3,Connecticut
2013,5,58.2,1.4,Connecticut
2013,6,67.7,2.3,Connecticut
2013,7,75.9,5.2,Connecticut
2013,8,68.7,0.1,Connecticut
2013,9,61.4,-0.1,Connecticut
2013,10,53.4,2.4,Connecticut
2013,11,39.8,-0.4,Connecticut
2013,12,31,1.8,Connecticut
2014,1,23.6,-1.8,Connecticut
2014,2,25,-1.3,Connecticut
2014,3,30.6,-4.8,Connecticut
2014,4,46.7,0.7,Connecticut
2014,5,58.3,1.5,Connecticut
2014,6,66.8,1.4,Connecticut
2014,7,71.9,1.2,Connecticut
2014,8,68.4,-0.2,Connecticut
2014,9,63.6,2.1,Connecticut
2014,10,54.1,3.1,Connecticut
2014,11,39.7,-0.5,Connecticut
2014,12,35.4,6.2,Connecticut
2015,1,23.3,-2.1,Connecticut
2015,2,15.8,-10.5,Connecticut
2015,3,31,-4.4,Connecticut
2015,4,47,1,Connecticut
2015,5,62.7,5.9,Connecticut
2015,6,65.3,-0.1,Connecticut
2015,7,72.2,1.5,Connecticut
2015,8,72,3.4,Connecticut
2015,9,67.8,6.3,Connecticut
2015,10,51.4,0.4,Connecticut
2015,11,46.1,5.9,Connecticut
2015,12,43.5,14.3,Connecticut
2016,1,29.7,4.3,Connecticut
2016,2,32,5.7,Connecticut
2016,3,43.2,7.8,Connecticut
2016,4,46.8,0.8,Connecticut
2016,5,58.4,1.6,Connecticut
2016,6,67.4,2,Connecticut
2016,7,74.1,3.4,Connecticut
2016,8,73.9,5.3,Connecticut
2016,9,66.2,4.7,Connecticut
2016,10,53.5,2.5,Connecticut
2016,11,43.5,3.3,Connecticut
2016,12,32.6,3.4,Connecticut
2017,1,32.7,7.3,Connecticut
2017,2,34.6,8.3,Connecticut
2017,3,33.4,-2,Connecticut
2017,4,51.8,5.8,Connecticut
2017,5,56.7,-0.1,Connecticut
2017,6,67,1.6,Connecticut
2017,7,71.5,0.8,Connecticut
2017,8,69.1,0.5,Connecticut
2017,9,66,4.5,Connecticut
2017,10,58.6,7.6,Connecticut
2017,11,41,0.8,Connecticut
2017,12,28.7,-0.5,Connecticut
2018,1,25.4,0,Connecticut
2018,2,35.7,9.4,Connecticut
2018,3,36.4,1,Connecticut
2018,4,43.4,-2.6,Connecticut
2018,5,62.2,5.4,Connecticut
2018,6,66.4,1,Connecticut
2018,7,74,3.3,Connecticut
2018,8,74.3,5.7,Connecticut
2018,9,66.1,4.6,Connecticut
2018,10,52.3,1.3,Connecticut
2018,11,39.1,-1.1,Connecticut
2018,12,33.8,4.6,Connecticut
2019,1,27,1.6,Connecticut
2019,2,30.2,3.9,Connecticut
2019,3,35,-0.4,Connecticut
2019,4,49.1,3.1,Connecticut
2019,5,57.1,0.3,Connecticut
2019,6,66.5,1.1,Connecticut
2019,7,74.9,4.2,Connecticut
2019,8,70.6,2,Connecticut
2019,9,63.2,1.7,Connecticut
2019,10,53.6,2.6,Connecticut
2019,11,38.1,-2.1,Connecticut
2019,12,31.7,2.5,Connecticut
2020,1,33,7.6,Connecticut
2020,2,33.9,7.6,Connecticut
2020,3,41.4,6,Connecticut
2020,4,44.4,-1.6,Connecticut
2020,5,56.4,-0.4,Connecticut
2020,6,68.4,3,Connecticut
2020,7,75.6,4.9,Connecticut
2020,8,72.6,4,Connecticut
2020,9,63.5,2,Connecticut
2020,10,53.2,2.2,Connecticut
2020,11,45.4,5.2,Connecticut
2020,12,33.6,4.4,Connecticut
2010,1,52.5,-5.2,Florida
2010,2,52.6,-6.8,Florida
2010,3,59,-5,Florida
2010,4,69.7,0.4,Florida
2010,5,78.5,3.4,Florida
2010,6,83.1,3.6,Florida
2010,7,83.4,2.4,Florida
2010,8,83.5,2.4,Florida
2010,9,80.9,1.8,Florida
2010,10,72.1,-0.2,Florida
2010,11,64.9,0.7,Florida
2010,12,50.1,-8.7,Florida
2011,1,54.9,-2.8,Florida
2011,2,61.8,2.4,Florida
2011,3,66.5,2.5,Florida
2011,4,73,3.7,Florida
2011,5,76.2,1.1,Florida
2011,6,82.1,2.6,Florida
2011,7,82.6,1.6,Florida
2011,8,83.7,2.6,Florida
2011,9,79.7,0.6,Florida
2011,10,70.5,-1.8,Florida
2011,11,66.4,2.2,Florida
2011,12,62.8,4,Florida
2012,1,59.3,1.6,Florida
2012,2,64.3,4.9,Florida
2012,3,70.3,6.3,Florida
2012,4,71.2,1.9,Florida
2012,5,77.6,2.5,Florida
2012,6,79.3,-0.2,Florida
2012,7,82.4,1.4,Florida
2012,8,81.5,0.4,Florida
2012,9,79.5,0.4,Florida
2012,10,73.2,0.9,Florida
2012,11,62.1,-2.1,Florida
2012,12,62,3.2,Florida
2013,1,64,6.3,Florida
2013,2,61.8,2.4,Florida
2013,3,59.1,-4.9,Florida
2013,4,71.4,2.1,Florida
2013,5,74,-1.1,Florida
2013,6,81.1,1.6,Florida
2013,7,80.8,-0.2,Florida
2013,8,82.2,1.1,Florida
2013,9,80,0.9,Florida
2013,10,74,1.7,Florida
2013,11,67.1,2.9,Florida
2013,12,64.7,5.9,Florida
2014,1,54.5,-3.2,Florida
2014,2,62.8,3.4,Florida
2014,3,63.5,-0.5,Florida
2014,4,70.5,1.2,Florida
2014,5,76,0.9,Florida
2014,6,80.3,0.8,Florida
2014,7,81.8,0.8,Florida
2014,8,82.9,1.8,Florida
2014,9,79.7,0.6,Florida
2014,10,72.7,0.4,Florida
2014,11,61.1,-3.1,Florida
2014,12,61.9,3.1,Florida
2015,1,58.6,0.9,Florida
2015,2,56.5,-2.9,Florida
2015,3,69.5,5.5,Florida
2015,4,75.1,5.8,Florida
2015,5,77.5,2.4,Florida
2015,6,81.7,2.2,Florida
2015,7,82.8,1.8,Florida
2015,8,82.4,1.3,Florida
2015,9,80,0.9,Florida
2015,10,74.4,2.1,Florida
2015,11,72.2,8,Florida
2015,12,69.6,10.8,Florida
2016,1,56.9,-0.8,Florida
2016,2,59.4,0,Florida
2016,3,68.8,4.8,Florida
2016,4,71.2,1.9,Florida
2016,5,76.2,1.1,Florida
2016,6,81.9,2.4,Florida
2016,7,84,3,Florida
2016,8,83,1.9,Florida
2016,9,81.1,2,Florida
2016,10,74.6,2.3,Florida
2016,11,66.6,2.4,Florida
2016,12,65.9,7.1,Florida
2017,1,62.8,5.1,Florida
2017,2,65.5,6.1,Florida
2017,3,66.2,2.2,Florida
2017,4,72.3,3,Florida
2017,5,77.1,2,Florida
2017,6,80.2,0.7,Florida
2017,7,82.8,1.8,Florida
2017,8,82.8,1.7,Florida
2017,9,80.4,1.3,Florida
2017,10,74.9,2.6,Florida
2017,11,67.4,3.2,Florida
2017,12,61.7,2.9,Florida
2018,1,55,-2.7,Florida
2018,2,69.2,9.8,Florida
2018,3,63,-1,Florida
2018,4,70.2,0.9,Florida
2018,5,76.4,1.3,Florida
2018,6,81.5,2,Florida
2018,7,82.4,1.4,Florida
2018,8,82.2,1.1,Florida
2018,9,82.4,3.3,Florida
2018,10,76.5,4.2,Florida
2018,11,66.7,2.5,Florida
2018,12,61.8,3,Florida
2019,1,58.4,0.7,Florida
2019,2,67.5,8.1,Florida
2019,3,65.7,1.7,Florida
2019,4,71.2,1.9,Florida
2019,5,78.8,3.7,Florida
2019,6,82.3,2.8,Florida
2019,7,82.8,1.8,Florida
2019,8,82.9,1.8,Florida
2019,9,81.9,2.8,Florida
2019,10,77.9,5.6,Florida
2019,11,64.9,0.7,Florida
2019,12,63.9,5.1,Florida
2020,1,61.8,4.1,Florida
2020,2,63.6,4.2,Florida
2020,3,71,7,Florida
2020,4,73.1,3.8,Florida
2020,5,75.8,0.7,Florida
2020,6,81,1.5,Florida
2020,7,83,2,Florida
2020,8,83.2,2.1,Florida
2020,9,80.6,1.5,Florida
2020,10,77.2,4.9,Florida
2020,11,70.8,6.6,Florida
2020,12,57.6,-1.2,Florida
2010,1,41.8,-4.3,Georgia
2010,2,42.1,-6.5,Georgia
2010,3,52.1,-3.2,Georgia
2010,4,64.5,1.4,Georgia
2010,5,73.6,2.6,Georgia
2010,6,81,3.6,Georgia
2010,7,82.2,2.5,Georgia
2010,8,82.2,3.2,Georgia
2010,9,76.5,2,Georgia
2010,10,64.8,0.5,Georgia
2010,11,54.8,0.6,Georgia
2010,12,39.9,-7.2,Georgia
2011,1,41.8,-4.3,Georgia
2011,2,51.1,2.5,Georgia
2011,3,57.8,2.5,Georgia
2011,4,65.8,2.7,Georgia
2011,5,71.3,0.3,Georgia
2011,6,81.1,3.7,Georgia
2011,7,81.9,2.2,Georgia
2011,8,82.2,3.2,Georgia
2011,9,73.6,-0.9,Georgia
2011,10,61.6,-2.7,Georgia
2011,11,56.2,2,Georgia
2011,12,51.3,4.2,Georgia
2012,1,50,3.9,Georgia
2012,2,52.8,4.2,Georgia
2012,3,64.8,9.5,Georgia
2012,4,65.6,2.5,Georgia
2012,5,73.5,2.5,Georgia
2012,6,75.6,-1.8,Georgia
2012,7,82.2,2.5,Georgia
2012,8,78.1,-0.9,Georgia
2012,9,74,-0.5,Georgia
2012,10,64.7,0.4,Georgia
2012,11,52.6,-1.6,Georgia
2012,12,52.1,5,Georgia
2013,1,52.5,6.4,Georgia
2013,2,48.8,0.2,Georgia
2013,3,50.2,-5.1,Georgia
2013,4,62.9,-0.2,Georgia
2013,5,68.4,-2.6,Georgia
2013,6,77.8,0.4,Georgia
2013,7,78.2,-1.5,Georgia
2013,8,78,-1,Georgia
2013,9,74.5,0,Georgia
2013,10,65,0.7,Georgia
2013,11,53.2,-1,Georgia
2013,12,51.2,4.1,Georgia
2014,1,40,-6.1,Georgia
2014,2,49.8,1.2,Georgia
2014,3,52.9,-2.4,Georgia
2014,4,63.1,0,Georgia
2014,5,71.2,0.2,Georgia
2014,6,78.3,0.9,Georgia
2014,7,78.9,-0.8,Georgia
2014,8,79.2,0.2,Georgia
2014,9,75.5,1,Georgia
2014,10,65.6,1.3,Georgia
2014,11,49.8,-4.4,Georgia
2014,12,51.3,4.2,Georgia
2015,1,44.9,-1.2,Georgia
2015,2,43.2,-5.4,Georgia
2015,3,58.8,3.5,Georgia
2015,4,66.8,3.7,Georgia
2015,5,72.4,1.4,Georgia
2015,6,79.3,1.9,Georgia
2015,7,81.5,1.8,Georgia
2015,8,79.5,0.5,Georgia
2015,9,73.8,-0.7,Georgia
2015,10,64.8,0.5,Georgia
2015,11,59.8,5.6,Georgia
2015,12,58.9,11.8,Georgia
2016,1,44.4,-1.7,Georgia
2016,2,50,1.4,Georgia
2016,3,60.9,5.6,Georgia
2016,4,63.9,0.8,Georgia
2016,5,70.8,-0.2,Georgia
2016,6,79.7,2.3,Georgia
2016,7,82.8,3.1,Georgia
2016,8,81.6,2.6,Georgia
2016,9,77.5,3,Georgia
2016,10,67.8,3.5,Georgia
2016,11,58,3.8,Georgia
2016,12,52.1,5,Georgia
2017,1,53.2,7.1,Georgia
2017,2,56.5,7.9,Georgia
2017,3,58,2.7,Georgia
2017,4,67.5,4.4,Georgia
2017,5,71.4,0.4,Georgia
2017,6,76.6,-0.8,Georgia
2017,7,80.6,0.9,Georgia
2017,8,79.4,0.4,Georgia
2017,9,74,-0.5,Georgia
2017,10,67,2.7,Georgia
2017,11,56.4,2.2,Georgia
2017,12,49.3,2.2,Georgia
2018,1,42.5,-3.6,Georgia
2018,2,59.2,10.6,Georgia
2018,3,54.5,-0.8,Georgia
2018,4,60.6,-2.5,Georgia
2018,5,73.7,2.7,Georgia
2018,6,79.3,1.9,Georgia
2018,7,80.2,0.5,Georgia
2018,8,79.4,0.4,Georgia
2018,9,79.8,5.3,Georgia
2018,10,68.4,4.1,Georgia
2018,11,53.2,-1,Georgia
2018,12,50.2,3.1,Georgia
2019,1,48.2,2.1,Georgia
2019,2,56.1,7.5,Georgia
2019,3,56.3,1,Georgia
2019,4,64.6,1.5,Georgia
2019,5,75.7,4.7,Georgia
2019,6,78.1,0.7,Georgia
2019,7,81,1.3,Georgia
2019,8,80.7,1.7,Georgia
2019,9,79.1,4.6,Georgia
2019,10,69.7,5.4,Georgia
2019,11,52.8,-1.4,Georgia
2019,12,52.3,5.2,Georgia
2020,1,51.4,5.3,Georgia
2020,2,51.9,3.3,Georgia
2020,3,63.1,7.8,Georgia
2020,4,63.1,0,Georgia
2020,5,69.4,-1.6,Georgia
2020,6,76.9,-0.5,Georgia
2020,7,81.5,1.8,Georgia
2020,8,80.4,1.4,Georgia
2020,9,74.3,-0.2,Georgia
2020,10,68.5,4.2,Georgia
2020,11,60.4,6.2,Georgia
2020,12,46.4,-0.7,Georgia
2010,1,28.2,6.1,Idaho
2010,2,28.9,2.5,Idaho
2010,3,35.2,2.5,Idaho
2010,4,40,-1,Idaho
2010,5,44.1,-5.2,Idaho
2010,6,55.5,-1.2,Idaho
2010,7,64.2,-0.9,Idaho
2010,8,62.8,-0.7,Idaho
2010,9,56.4,1.7,Idaho
2010,10,47.5,3.4,Idaho
2010,11,30.5,-1.1,Idaho
2010,12,26.6,2.6,Idaho
2011,1,24,1.9,Idaho
2011,2,24.3,-2.1,Idaho
2011,3,33.4,0.7,Idaho
2011,4,36.4,-4.6,Idaho
2011,5,45.8,-3.5,Idaho
2011,6,54,-2.7,Idaho
2011,7,64.3,-0.8,Idaho
2011,8,66.1,2.6,Idaho
2011,9,59.6,4.9,Idaho
2011,10,45.4,1.3,Idaho
2011,11,30.5,-1.1,Idaho
2011,12,24.8,0.8,Idaho
2012,1,26.8,4.7,Idaho
2012,2,28,1.6,Idaho
2012,3,36.4,3.7,Idaho
2012,4,44.4,3.4,Idaho
2012,5,49,-0.3,Idaho
2012,6,56.9,0.2,Idaho
2012,7,68.5,3.4,Idaho
2012,8,67.3,3.8,Idaho
2012,9,58.4,3.7,Idaho
2012,10,43.7,-0.4,Idaho
2012,11,36,4.4,Idaho
2012,12,25.8,1.8,Idaho
2013,1,20.2,-1.9,Idaho
2013,2,27.5,1.1,Idaho
2013,3,35.1,2.4,Idaho
2013,4,40.1,-0.9,Idaho
2013,5,51,1.7,Idaho
2013,6,59.3,2.6,Idaho
2013,7,69.6,4.5,Idaho
2013,8,67.6,4.1,Idaho
2013,9,57.1,2.4,Idaho
2013,10,42.1,-2,Idaho
2013,11,33.8,2.2,Idaho
2013,12,21.1,-2.9,Idaho
2014,1,27.7,5.6,Idaho
2014,2,28,1.6,Idaho
2014,3,36.2,3.5,Idaho
2014,4,41.6,0.6,Idaho
2014,5,51.6,2.3,Idaho
2014,6,56.7,0,Idaho
2014,7,69.3,4.2,Idaho
2014,8,63.8,0.3,Idaho
2014,9,57.6,2.9,Idaho
2014,10,48.5,4.4,Idaho
2014,11,31.1,-0.5,Idaho
2014,12,29.1,5.1,Idaho
2015,1,28.7,6.6,Idaho
2015,2,35.2,8.8,Idaho
2015,3,40.8,8.1,Idaho
2015,4,42.3,1.3,Idaho
2015,5,51.8,2.5,Idaho
2015,6,64.7,8,Idaho
2015,7,65.1,0,Idaho
2015,8,65.8,2.3,Idaho
2015,9,57.2,2.5,Idaho
2015,10,50.7,6.6,Idaho
2015,11,29.9,-1.7,Idaho
2015,12,24.3,0.3,Idaho
2016,1,25.8,3.7,Idaho
2016,2,31.9,5.5,Idaho
2016,3,37,4.3,Idaho
2016,4,47,6,Idaho
2016,5,50.6,1.3,Idaho
2016,6,61.2,4.5,Idaho
2016,7,64.8,-0.3,Idaho
2016,8,64.7,1.2,Idaho
2016,9,54.6,-0.1,Idaho
2016,10,45.7,1.6,Idaho
2016,11,38.7,7.1,Idaho
2016,12,19.1,-4.9,Idaho
2017,1,18.5,-3.6,Idaho
2017,2,29.5,3.1,Idaho
2017,3,38.5,5.8,Idaho
2017,4,40.3,-0.7,Idaho
2017,5,50.6,1.3,Idaho
2017,6,59.1,2.4,Idaho
2017,7,70,4.9,Idaho
2017,8,66.9,3.4,Idaho
2017,9,55.7,1,Idaho
2017,10,41.9,-2.2,Idaho
2017,11,34.9,3.3,Idaho
2017,12,25.2,1.2,Idaho
2018,1,30.4,8.3,Idaho
2018,2,26.2,-0.2,Idaho
2018,3,33.7,1,Idaho
2018,4,42.4,1.4,Idaho
2018,5,54,4.7,Idaho
2018,6,57.7,1,Idaho
2018,7,68.4,3.3,Idaho
2018,8,65,1.5,Idaho
2018,9,56.2,1.5,Idaho
2018,10,44,-0.1,Idaho
2018,11,32,0.4,Idaho
2018,12,24.3,0.3,Idaho
2019,1,26.3,4.2,Idaho
2019,2,23.2,-3.2,Idaho
2019,3,32.4,-0.3,Idaho
2019,4,42.9,1.9,Idaho
2019,5,49.8,0.5,Idaho
2019,6,57.2,0.5,Idaho
2019,7,65.5,0.4,Idaho
2019,8,66,2.5,Idaho
2019,9,55,0.3,Idaho
2019,10,36.6,-7.5,Idaho
2019,11,34.3,2.7,Idaho
2019,12,26.6,2.6,Idaho
2020,1,27.3,5.2,Idaho
2020,2,26.2,-0.2,Idaho
2020,3,35.1,2.4,Idaho
2020,4,41.6,0.6,Idaho
2020,5,50.6,1.3,Idaho
2020,6,56.2,-0.5,Idaho
2020,7,64.9,-0.2,Idaho
2020,8,67.1,3.6,Idaho
2020,9,58.7,4,Idaho
2020,10,45.4,1.3,Idaho
2020,11,32.7,1.1,Idaho
2020,12,26.2,2.2,Idaho
2010,1,21.5,-3.9,Illinois
2010,2,25.7,-3.4,Illinois
2010,3,43.8,4,Illinois
2010,4,58.7,7.2,Illinois
2010,5,64.3,2.1,Illinois
2010,6,74.9,3.5,Illinois
2010,7,77.6,2,Illinois
2010,8,76.8,3.3,Illinois
2010,9,67.2,1,Illinois
2010,10,56.5,1.8,Illinois
2010,11,43.7,2.9,Illinois
2010,12,24,-5.4,Illinois
2011,1,22.7,-2.7,Illinois
2011,2,30.2,1.1,Illinois
2011,3,41.6,1.8,Illinois
2011,4,53.1,1.6,Illinois
2011,5,62.1,-0.1,Illinois
2011,6,72.9,1.5,Illinois
2011,7,79.9,4.3,Illinois
2011,8,74.8,1.3,Illinois
2011,9,63.6,-2.6,Illinois
2011,10,55.2,0.5,Illinois
2011,11,45.8,5,Illinois
2011,12,35.9,6.5,Illinois
2012,1,31.9,6.5,Illinois
2012,2,35.8,6.7,Illinois
2012,3,55.5,15.7,Illinois
2012,4,54.6,3.1,Illinois
2012,5,68.1,5.9,Illinois
2012,6,72.6,1.2,Illinois
2012,7,81.8,6.2,Illinois
2012,8,73.6,0.1,Illinois
2012,9,64.9,-1.3,Illinois
2012,10,52.5,-2.2,Illinois
2012,11,41.2,0.4,Illinois
2012,12,36.8,7.4,Illinois
2013,1,29.2,3.8,Illinois
2013,2,29.9,0.8,Illinois
2013,3,34.3,-5.5,Illinois
2013,4,50.2,-1.3,Illinois
2013,5,63.9,1.7,Illinois
2013,6,71.5,0.1,Illinois
2013,7,73.1,-2.5,Illinois
2013,8,72.8,-0.7,Illinois
2013,9,68.6,2.4,Illinois
2013,10,54.5,-0.2,Illinois
2013,11,38.8,-2,Illinois
2013,12,26.2,-3.2,Illinois
2014,1,19.3,-6.1,Illinois
2014,2,19.4,-9.7,Illinois
2014,3,34.4,-5.4,Illinois
2014,4,52.4,0.9,Illinois
2014,5,63.7,1.5,Illinois
2014,6,73,1.6,Illinois
2014,7,70.3,-5.3,Illinois
2014,8,73.8,0.3,Illinois
2014,9,64.7,-1.5,Illinois
2014,10,54.3,-0.4,Illinois
2014,11,34.6,-6.2,Illinois
2014,12,33.9,4.5,Illinois
2015,1,25.7,0.3,Illinois
2015,2,19.4,-9.7,Illinois
2015,3,38.3,-1.5,Illinois
2015,4,54.3,2.8,Illinois
2015,5,64.9,2.7,Illinois
2015,6,71.7,0.3,Illinois
2015,7,74.2,-1.4,Illinois
2015,8,71.9,-1.6,Illinois
2015,9,70.4,4.2,Illinois
2015,10,56,1.3,Illinois
2015,11,46.6,5.8,Illinois
2015,12,41.1,11.7,Illinois
2016,1,26.9,1.5,Illinois
2016,2,33.8,4.7,Illinois
2016,3,47.3,7.5,Illinois
2016,4,53,1.5,Illinois
2016,5,62,-0.2,Illinois
2016,6,74.8,3.4,Illinois
2016,7,75.6,0,Illinois
2016,8,75.7,2.2,Illinois
2016,9,70.8,4.6,Illinois
2016,10,59.9,5.2,Illinois
2016,11,48.1,7.3,Illinois
2016,12,28.9,-0.5,Illinois
2017,1,32.1,6.7,Illinois
2017,2,41.1,12,Illinois
2017,3,43.2,3.4,Illinois
2017,4,56.5,5,Illinois
2017,5,61.9,-0.3,Illinois
2017,6,72.7,1.3,Illinois
2017,7,76.1,0.5,Illinois
2017,8,70.5,-3,Illinois
2017,9,68.8,2.6,Illinois
2017,10,58.1,3.4,Illinois
2017,11,41.9,1.1,Illinois
2017,12,29.8,0.4,Illinois
2018,1,24.1,-1.3,Illinois
2018,2,31.8,2.7,Illinois
2018,3,39.2,-0.6,Illinois
2018,4,44.8,-6.7,Illinois
2018,5,70.7,8.5,Illinois
2018,6,74.9,3.5,Illinois
2018,7,75,-0.6,Illinois
2018,8,74.7,1.2,Illinois
2018,9,70.3,4.1,Illinois
2018,10,54.2,-0.5,Illinois
2018,11,35.6,-5.2,Illinois
2018,12,34.4,5,Illinois
2019,1,25.4,0,Illinois
2019,2,29.3,0.2,Illinois
2019,3,37.3,-2.5,Illinois
2019,4,52.5,1,Illinois
2019,5,62.5,0.3,Illinois
2019,6,70.9,-0.5,Illinois
2019,7,77.4,1.8,Illinois
2019,8,72.8,-0.7,Illinois
2019,9,71.6,5.4,Illinois
2019,10,53.7,-1,Illinois
2019,11,36.2,-4.6,Illinois
2019,12,35.6,6.2,Illinois
2020,1,31.8,6.4,Illinois
2020,2,31.9,2.8,Illinois
2020,3,44.4,4.6,Illinois
2020,4,49.6,-1.9,Illinois
2020,5,60.6,-1.6,Illinois
2020,6,73.6,2.2,Illinois
2020,7,77.3,1.7,Illinois
2020,8,72.8,-0.7,Illinois
2020,9,65.6,-0.6,Illinois
